F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	
0.8589	5.5796e+005	0.330	0.587	0.587	0.868	0.132	0.231	0.607	0.607	0.906	0.135	0.193	0.585	0.585	0.941	0.148	0.224	0.575	0.575	0.923	0.147	
0.8599	5.54e+005 	0.328	0.585	0.585	0.868	0.133	0.229	0.606	0.606	0.906	0.136	0.192	0.584	0.584	0.941	0.149	0.223	0.574	0.574	0.923	0.148	
0.8609	5.5005e+005	0.327	0.584	0.584	0.868	0.133	0.228	0.604	0.604	0.906	0.136	0.191	0.582	0.582	0.941	0.149	0.222	0.573	0.573	0.923	0.149	
0.8619	5.4609e+005	0.325	0.582	0.582	0.867	0.134	0.226	0.603	0.603	0.906	0.137	0.190	0.581	0.581	0.940	0.150	0.220	0.571	0.571	0.923	0.149	
0.8629	5.4214e+005	0.324	0.581	0.581	0.867	0.135	0.224	0.602	0.602	0.906	0.138	0.189	0.580	0.580	0.940	0.151	0.219	0.570	0.570	0.923	0.150	
0.8639	5.3818e+005	0.322	0.579	0.579	0.866	0.135	0.223	0.600	0.600	0.906	0.138	0.188	0.579	0.579	0.940	0.151	0.217	0.568	0.568	0.923	0.151	
0.8649	5.3423e+005	0.321	0.578	0.578	0.866	0.136	0.221	0.599	0.599	0.906	0.139	0.187	0.578	0.578	0.940	0.152	0.216	0.567	0.567	0.923	0.151	
0.8659	5.3027e+005	0.319	0.576	0.576	0.865	0.137	0.219	0.598	0.598	0.905	0.140	0.185	0.576	0.576	0.940	0.152	0.214	0.566	0.566	0.923	0.152	
0.8669	5.2632e+005	0.318	0.575	0.575	0.864	0.137	0.218	0.596	0.596	0.905	0.140	0.184	0.575	0.575	0.939	0.153	0.213	0.564	0.564	0.922	0.153	
0.8679	5.2236e+005	0.316	0.573	0.573	0.864	0.138	0.216	0.595	0.595	0.905	0.141	0.183	0.574	0.574	0.939	0.154	0.211	0.563	0.563	0.922	0.153	
0.8689	5.1841e+005	0.315	0.572	0.572	0.863	0.139	0.214	0.593	0.593	0.905	0.142	0.182	0.573	0.573	0.939	0.154	0.210	0.561	0.561	0.922	0.154	
0.8699	5.1445e+005	0.313	0.570	0.570	0.863	0.139	0.212	0.592	0.592	0.905	0.143	0.181	0.571	0.571	0.939	0.155	0.208	0.560	0.560	0.922	0.155	
0.8709	5.105e+005	0.312	0.569	0.569	0.862	0.140	0.211	0.591	0.591	0.905	0.143	0.180	0.570	0.570	0.939	0.156	0.207	0.559	0.559	0.922	0.156	
0.8719	5.0654e+005	0.310	0.567	0.567	0.861	0.141	0.209	0.589	0.589	0.905	0.144	0.179	0.569	0.569	0.938	0.156	0.206	0.557	0.557	0.922	0.156	
0.8729	5.0259e+005	0.309	0.565	0.565	0.861	0.141	0.207	0.588	0.588	0.905	0.145	0.178	0.568	0.568	0.938	0.157	0.204	0.556	0.556	0.922	0.157	
0.8739	4.9863e+005	0.307	0.564	0.564	0.860	0.142	0.206	0.586	0.586	0.905	0.146	0.177	0.566	0.566	0.938	0.158	0.203	0.554	0.554	0.922	0.158	
0.8749	4.9468e+005	0.306	0.562	0.562	0.859	0.143	0.204	0.585	0.585	0.905	0.146	0.176	0.565	0.565	0.938	0.158	0.201	0.553	0.553	0.922	0.159	
0.8759	4.9072e+005	0.304	0.561	0.561	0.859	0.143	0.202	0.583	0.583	0.905	0.147	0.175	0.564	0.564	0.937	0.159	0.200	0.551	0.551	0.922	0.159	
0.8769	4.8677e+005	0.302	0.559	0.559	0.858	0.144	0.201	0.582	0.582	0.905	0.148	0.174	0.562	0.562	0.937	0.160	0.198	0.550	0.550	0.922	0.160	
0.8779	4.8281e+005	0.301	0.557	0.557	0.857	0.145	0.199	0.580	0.580	0.905	0.149	0.172	0.561	0.561	0.937	0.160	0.197	0.548	0.548	0.922	0.161	
0.8789	4.7886e+005	0.299	0.556	0.556	0.857	0.145	0.197	0.579	0.579	0.905	0.149	0.171	0.560	0.560	0.937	0.161	0.195	0.547	0.547	0.921	0.162	
0.8799	4.749e+005	0.298	0.554	0.554	0.856	0.146	0.196	0.578	0.578	0.905	0.150	0.170	0.558	0.558	0.937	0.162	0.194	0.545	0.545	0.921	0.162	
0.8809	4.7095e+005	0.296	0.552	0.552	0.855	0.147	0.194	0.576	0.576	0.905	0.151	0.169	0.557	0.557	0.936	0.162	0.193	0.544	0.544	0.921	0.163	
0.8819	4.6699e+005	0.295	0.551	0.551	0.854	0.147	0.192	0.574	0.574	0.905	0.152	0.168	0.556	0.556	0.936	0.163	0.191	0.542	0.542	0.921	0.164	
0.8829	4.6304e+005	0.293	0.549	0.549	0.854	0.148	0.191	0.573	0.573	0.905	0.153	0.167	0.554	0.554	0.936	0.164	0.190	0.541	0.541	0.921	0.165	
0.8839	4.5908e+005	0.291	0.547	0.547	0.853	0.149	0.189	0.571	0.571	0.904	0.153	0.166	0.553	0.553	0.935	0.164	0.188	0.539	0.539	0.921	0.166	
0.8849	4.5513e+005	0.290	0.545	0.545	0.852	0.150	0.187	0.570	0.570	0.904	0.154	0.165	0.552	0.552	0.935	0.165	0.187	0.537	0.537	0.921	0.167	
0.8859	4.5117e+005	0.288	0.544	0.544	0.851	0.151	0.186	0.568	0.568	0.904	0.155	0.164	0.550	0.550	0.935	0.166	0.185	0.536	0.536	0.921	0.167	
0.8869	4.4722e+005	0.287	0.542	0.542	0.850	0.151	0.184	0.567	0.567	0.904	0.156	0.163	0.549	0.549	0.935	0.167	0.184	0.534	0.534	0.921	0.168	
0.8879	4.4326e+005	0.285	0.540	0.540	0.849	0.152	0.182	0.565	0.565	0.904	0.157	0.162	0.548	0.548	0.934	0.167	0.182	0.533	0.533	0.921	0.169	
0.8889	4.3931e+005	0.283	0.538	0.538	0.848	0.153	0.181	0.563	0.563	0.904	0.158	0.161	0.546	0.546	0.934	0.168	0.181	0.531	0.531	0.920	0.170	
0.8899	4.3535e+005	0.282	0.537	0.537	0.847	0.154	0.179	0.562	0.562	0.904	0.159	0.159	0.545	0.545	0.934	0.169	0.179	0.529	0.529	0.920	0.171	
0.8909	4.314e+005	0.280	0.535	0.535	0.846	0.154	0.177	0.560	0.560	0.904	0.159	0.158	0.543	0.543	0.933	0.169	0.178	0.528	0.528	0.920	0.172	
0.8919	4.2744e+005	0.278	0.533	0.533	0.845	0.155	0.175	0.559	0.559	0.904	0.160	0.157	0.542	0.542	0.933	0.170	0.176	0.526	0.526	0.920	0.173	
0.8929	4.2349e+005	0.277	0.531	0.531	0.844	0.156	0.174	0.557	0.557	0.904	0.161	0.156	0.541	0.541	0.933	0.171	0.175	0.524	0.524	0.920	0.174	
0.8939	4.1953e+005	0.275	0.529	0.529	0.843	0.157	0.172	0.555	0.555	0.904	0.162	0.155	0.539	0.539	0.932	0.172	0.173	0.523	0.523	0.920	0.174	
0.8949	4.1558e+005	0.273	0.527	0.527	0.842	0.158	0.170	0.554	0.554	0.904	0.163	0.154	0.538	0.538	0.932	0.172	0.172	0.521	0.521	0.920	0.175	
0.8959	4.1162e+005	0.272	0.525	0.525	0.841	0.159	0.169	0.552	0.552	0.904	0.164	0.153	0.536	0.536	0.931	0.173	0.170	0.519	0.519	0.919	0.176	
0.8969	4.0767e+005	0.270	0.523	0.523	0.840	0.160	0.167	0.550	0.550	0.903	0.165	0.152	0.535	0.535	0.931	0.174	0.169	0.518	0.518	0.919	0.177	
0.8979	4.0371e+005	0.268	0.522	0.522	0.839	0.160	0.165	0.548	0.548	0.903	0.166	0.151	0.533	0.533	0.931	0.175	0.167	0.516	0.516	0.919	0.178	
0.8989	3.9976e+005	0.267	0.520	0.520	0.838	0.161	0.163	0.547	0.547	0.903	0.167	0.150	0.532	0.532	0.930	0.176	0.166	0.514	0.514	0.919	0.179	
0.8999	3.958e+005	0.265	0.518	0.518	0.836	0.162	0.162	0.545	0.545	0.903	0.168	0.148	0.530	0.530	0.930	0.177	0.164	0.513	0.513	0.919	0.180	
0.9009	3.9185e+005	0.263	0.516	0.516	0.835	0.163	0.160	0.543	0.543	0.903	0.169	0.147	0.529	0.529	0.929	0.177	0.163	0.511	0.511	0.918	0.181	
0.9019	3.8789e+005	0.261	0.514	0.514	0.834	0.164	0.158	0.542	0.542	0.903	0.170	0.146	0.527	0.527	0.929	0.178	0.161	0.509	0.509	0.918	0.182	
0.9029	3.8394e+005	0.259	0.512	0.512	0.833	0.165	0.157	0.540	0.540	0.903	0.171	0.145	0.525	0.525	0.929	0.179	0.160	0.507	0.507	0.918	0.183	
0.9039	3.7998e+005	0.258	0.510	0.510	0.832	0.166	0.155	0.538	0.538	0.903	0.172	0.144	0.524	0.524	0.928	0.180	0.158	0.506	0.506	0.918	0.184	
0.9049	3.7603e+005	0.256	0.507	0.507	0.830	0.167	0.153	0.536	0.536	0.902	0.173	0.143	0.522	0.522	0.928	0.181	0.157	0.504	0.504	0.918	0.185	
0.9059	3.7207e+005	0.254	0.505	0.505	0.829	0.168	0.151	0.534	0.534	0.902	0.174	0.142	0.521	0.521	0.928	0.182	0.155	0.502	0.502	0.918	0.186	
0.9069	3.6812e+005	0.252	0.503	0.503	0.828	0.169	0.150	0.532	0.532	0.902	0.175	0.141	0.519	0.519	0.927	0.182	0.154	0.500	0.500	0.917	0.187	
0.9079	3.6416e+005	0.251	0.501	0.501	0.826	0.170	0.148	0.531	0.531	0.902	0.176	0.140	0.518	0.518	0.927	0.183	0.152	0.498	0.498	0.917	0.188	
0.9089	3.6021e+005	0.249	0.499	0.499	0.825	0.171	0.146	0.529	0.529	0.902	0.177	0.139	0.516	0.516	0.926	0.184	0.150	0.497	0.497	0.917	0.189	
0.9099	3.5625e+005	0.247	0.497	0.497	0.823	0.172	0.145	0.527	0.527	0.902	0.178	0.138	0.514	0.514	0.926	0.185	0.149	0.495	0.495	0.917	0.190	
0.9109	3.523e+005	0.245	0.495	0.495	0.822	0.173	0.143	0.525	0.525	0.902	0.179	0.137	0.513	0.513	0.925	0.186	0.147	0.493	0.493	0.917	0.192	
0.9119	3.4834e+005	0.243	0.493	0.493	0.820	0.174	0.141	0.523	0.523	0.902	0.181	0.136	0.511	0.511	0.925	0.187	0.146	0.491	0.491	0.916	0.193	
0.9129	3.4439e+005	0.241	0.490	0.490	0.819	0.175	0.140	0.521	0.521	0.901	0.182	0.135	0.509	0.509	0.924	0.188	0.144	0.489	0.489	0.916	0.194	
0.9139	3.4043e+005	0.239	0.488	0.488	0.817	0.176	0.138	0.519	0.519	0.901	0.183	0.134	0.508	0.508	0.924	0.189	0.143	0.487	0.487	0.916	0.195	
0.9149	3.3648e+005	0.237	0.486	0.486	0.815	0.177	0.136	0.517	0.517	0.901	0.184	0.133	0.506	0.506	0.923	0.190	0.141	0.485	0.485	0.916	0.196	
0.9159	3.3252e+005	0.236	0.484	0.484	0.813	0.178	0.135	0.515	0.515	0.901	0.185	0.132	0.504	0.504	0.923	0.191	0.140	0.483	0.483	0.915	0.197	
